"Subset","Detail"
"KDIvsHFD","Cnih3"
"KDIvsHFD","Snap25"
"KDIvsHFD","E2f1"
"KDIvsHFD","Dclk1"
"KDIvsHFD","Cd2"
"KDIvsHFD","Cth"
"KDIvsHFD","Atp6v0d2"
"KDIvsHFD","Tnfsf8"
"KDIvsHFD","Ptgr1"
"KDIvsHFD","Nfx1"
"KDIvsHFD","Sh3gl2"
"KDIvsHFD","Pdpn"
"KDIvsHFD","Zbtb8a"
"KDIvsHFD","Per3"
"KDIvsHFD","Snx8"
"KDIvsHFD","Tfpi2"
"KDIvsHFD","Add2"
"KDIvsHFD","Pianp"
"KDIvsHFD","Dmpk"
"KDIvsHFD","Lilra6"
"KDIvsHFD","Slc17a6"
"KDIvsHFD","Apba2"
"KDIvsHFD","Dgat2"
"KDIvsHFD","Itgam"
"KDIvsHFD","Itgax"
"KDIvsHFD","Ptpn7"
"KDIvsHFD","Clmp"
"KDIvsHFD","Pou2af1"
"KDIvsHFD","Apoa1"
"KDIvsHFD","Tinag"
"KDIvsHFD","Ltf"
"KDIvsHFD","Tlr13"
"KDIvsHFD","Cd226"
"KDIvsHFD","Scn10a"
"KDIvsHFD","Ppp1r1c"
"KDIvsHFD","Dusp5"
"KDIvsHFD","Mfsd12"
"KDIvsHFD","Krt20"
"KDIvsHFD","Fam110c"
"KDIvsHFD","Cc2d1a"
"KDIvsHFD","Dner"
"KDIvsHFD","Cldn11"
"KDIvsHFD","Cd84"
"KDIvsHFD","Poli"
"KDIvsHFD","Elovl3"
"KDIvsHFD","Neil3"
"KDIvsHFD","Dock3"
"KDIvsHFD","Galnt12"
"KDIvsHFD","Zc3h12d"
"KDIvsHFD","Thbs1"
"KDIvsHFD","BC052040"
"KDIvsHFD","Map7d2"
"KDIvsHFD","Rbbp8"
"KDIvsHFD","Rhod"
"KDIvsHFD","Pm20d1"
"KDIvsHFD","Isl1"
"KDIvsHFD","Clspn"
"KDIvsHFD","Apobr"
"KDIvsHFD","A730020M07Rik"
"KDIvsHFD","4933402E13Rik"
"KDIvsHFD","Glb1"
"KDIvsHFD","Zfp764"
"KDIvsHFD","4933440M02Rik"
"KDIvsHFD","Gpr158"
"KDIvsHFD","Slitrk4"
"KDIvsHFD","Ccdc144b"
"KDIvsHFD","C5ar1"
"KDIvsHFD","Ugt3a2"
"KDIvsHFD","Mmp12"
"KDIvsHFD","Scg2"
"KDIvsHFD","Tmem37"
"KDIvsHFD","Dcaf12l2"
"KDIvsHFD","Sv2c"
"KDIvsHFD","Ggcx"
"KDIvsHFD","Dpep2"
"KDIvsHFD","Adam12"
"KDIvsHFD","Nap1l5"
"KDIvsHFD","Per2"
"KDIvsHFD","Cldn23"
"KDIvsHFD","Nfil3"
"KDIvsHFD","Serpina9"
"KDIvsHFD","Nrg2"
"KDIvsHFD","Slc38a10"
"KDIvsHFD","Dpp6"
"KDIvsHFD","Cd200r4"
"KDIvsHFD","Gm49339"
"KDIvsHFD","Cd300lb"
"KDIvsHFD","Glyat"
"KDIvsHFD","Slc31a1"
"KDIvsHFD","Rpl7a-ps11"
"KDIvsHFD","Lyz1"
"KDIvsHFD","Gm20634"
"KDIvsHFD","Slc17a7"
"KDIvsHFD","Serpina1d"
"KDIvsHFD","Mup14"
"KDIvsHFD","Apoc4"
"KDIvsHFD","C5ar2"
"KDIvsHFD","Bhmt"
"KDIvsHFD","Ighm"
"KDIvsHFD","Raet1d"
