"Subset","Detail","HFDvsSD_log2FoldChange","HFDvsSD_pvalue","KDvsSD_log2FoldChange","KDvsSD_pvalue","KDvsHFD_log2FoldChange","KDvsHFD_pvalue"
"HFDvsSD_KDvsHFD","Lmtk2",0.400489045906101,0.00261707895065866,NA,NA,-0.371372027250294,0.00371300397595422
"HFDvsSD_KDvsHFD","Tbcd",0.2334214420722,0.00372165103019472,NA,NA,-0.20343360118406,0.00850551441534259
"HFDvsSD_KDvsHFD","Hip1",0.379498062743305,0.00567627290916794,NA,NA,-0.389504018678569,0.00320814345279673
"HFDvsSD_KDvsHFD","Thbs1",0.800743629021068,0.00806718561251338,NA,NA,-0.751832888367386,0.00983630766611001
"HFDvsSD_KDvsHFD","Chrm4",4.04999719897157,2.7345981326788e-06,NA,NA,-3.03612292887636,8.81778708684764e-06
"HFDvsSD_KDvsHFD","Wdr7",0.40308808060657,9.28429755617262e-05,NA,NA,-0.270734655247098,0.00629070430779717
"HFDvsSD_KDvsHFD","Plekhh2",0.47488431656116,0.0001002346562104,NA,NA,-0.404403890374289,0.000573287415242442
"HFDvsSD_KDvsHFD","Prelp",1.05294297768868,0.000423914120381325,NA,NA,-0.963956342485057,0.000811514084063832
"HFDvsSD_KDvsHFD","Pigs",0.207782598284401,0.00500382306605709,NA,NA,-0.184436860684972,0.00948834179889194
"HFDvsSD_KDvsHFD","Ptchd4",2.06281748283854,0.00619696539045037,NA,NA,-2.82968479704657,0.000133499987559691
"HFDvsSD_KDvsHFD","Fam89a",0.702708010079974,0.00122941283256706,NA,NA,-0.630394981671972,0.00194817512803859
"HFDvsSD_KDvsHFD","1190005I06Rik",-0.700643462469183,0.00116299470981618,NA,NA,0.64256194569047,0.00198851106160348
"HFDvsSD_KDvsHFD","1700048O20Rik",-0.727252679371125,0.00401106655045725,NA,NA,0.708869436790948,0.0035347800684155
"HFDvsSD_KDvsHFD","Fmn1",0.622259815142248,0.00877420425933859,NA,NA,-0.653306161495222,0.00411625503537197
"HFDvsSD_KDvsHFD","Zfand3",0.124218744991204,0.00863433250259589,NA,NA,-0.121161202807562,0.00775482357165529
"HFDvsSD_KDvsHFD","Fzd5",0.506839382243535,0.00548685682727387,NA,NA,-0.48268553883545,0.00583835934938351
"HFDvsSD_KDvsHFD","Lca5l",-0.401222894160282,0.00795129789223025,NA,NA,0.392155382160794,0.00665562635934776
"HFDvsSD_KDvsHFD","Smkr-ps",-1.25512618432222,3.96880168105304e-05,NA,NA,1.03098853393365,0.000505689015171711
"HFDvsSD_KDvsHFD","Zfp764",-0.195279031919796,0.00540545407239655,NA,NA,0.193779218475215,0.00387123046894826
"HFDvsSD_KDvsHFD","B430212C06Rik",1.90520696787995,0.0037737450007017,NA,NA,-1.58563100291356,0.00986363542632937
"HFDvsSD_KDvsHFD","Mageh1",-0.225568777948596,0.00400051402927619,NA,NA,0.200655719170945,0.00769999179147808
"HFDvsSD_KDvsHFD","Zfp280b",0.335345628402259,8.94190032769839e-06,NA,NA,-0.187053202738856,0.00885076623672656
"HFDvsSD_KDvsHFD","Dennd4a",0.44063419056407,0.00748764343144478,NA,NA,-0.414492130880177,0.00896251629945145
"HFDvsSD_KDvsHFD","Cthrc1",-1.87102585590954,0.00316944060320754,NA,NA,1.89114102438629,0.00197269323518807
"HFDvsSD_KDvsHFD","Slc8a1",1.14851681046619,0.00293394568978632,NA,NA,-1.05678951874711,0.00445836315553762
"HFDvsSD_KDvsHFD","Unc93a2",-2.26013799413691,8.36966253272699e-06,NA,NA,2.54117558086159,2.04679159980922e-07
"HFDvsSD_KDvsHFD","Jmjd6",-0.425052444200444,5.46637600534399e-06,NA,NA,0.258299649818555,0.00417670997862064
"HFDvsSD_KDvsHFD","Hydin",2.10706176659812,0.000314210422852489,NA,NA,-3.05977514088682,1.14379780818276e-07
"HFDvsSD_KDvsHFD","Hipk2",0.873581862797477,0.00011332238568396,NA,NA,-0.718233543976344,0.000981513568299794
"HFDvsSD_KDvsHFD","Cfd",-1.73313864155422,0.000162802476905481,NA,NA,1.93773078420326,1.2146229214877e-05
"HFDvsSD_KDvsHFD","Nol7",-0.264963187663587,0.000413374541184308,NA,NA,0.213280536545741,0.00315331444034536
"HFDvsSD_KDvsHFD","Klk1",1.34666783312316,0.000506816926304198,NA,NA,-1.39612657010966,0.00015929831460335
"HFDvsSD_KDvsHFD","Cnnm2",0.680334901709955,0.000883505088566137,NA,NA,-0.609206601368249,0.00196893572860054
"HFDvsSD_KDvsHFD","Serpina1a",2.07595892495542,0.00122451233761088,NA,NA,-1.53776209760225,0.00951773122984081
"HFDvsSD_KDvsHFD","H2-Q10",-2.75200102563429,3.63563574684053e-07,NA,NA,2.25697385978886,1.51547415441523e-05
"HFDvsSD_KDvsHFD","Gm20634",0.803794522641347,0.000810228476330126,NA,NA,-0.631791679315118,0.00618552649155717
"HFDvsSD_KDvsHFD","Tmem132b",2.70144282231171,0.0002810442375581,NA,NA,-3.71766265356288,3.05950431652703e-07
